,type,size,Algorithm,time_ms,copy_count,memory_kb
235,99% Sorted,1000000,Merge Sort,81.42423,41902846,11604
236,99% Sorted,1000000,Quick Sort,680.7746,329198932,7870
237,99% Sorted,1000000,Selection Sort,656546.3,2999610,7568
238,99% Sorted,1000000,Tim Sort,12.941059999999998,2327529,11624
239,99% Sorted,1000000,Tournament Sort,93.51401,25097151,23836
240,Zigzag,1000,Bubble Sort,1.184388,748500,2068
241,Zigzag,1000,Cocktail Shaker Sort,0.9602067,748500,2088
242,Zigzag,1000,Comb Sort,0.0792732,9333,3772
243,Zigzag,1000,Heap Sort,0.0623277,27528,3748
244,Zigzag,1000,Insertion Sort,0.7773913,251498,2148
245,Zigzag,1000,Intro Sort,0.2217686,56530,3980
246,Zigzag,1000,Library Sort,0.5283845,6999,3752
247,Zigzag,1000,Merge Sort,0.0484723,21950,4020
248,Zigzag,1000,Quick Sort,0.686671,751496,3936
249,Zigzag,1000,Selection Sort,0.5664556000000001,750,2092
250,Zigzag,1000,Tim Sort,0.08720520000000001,25463,3844
251,Zigzag,1000,Tournament Sort,0.034391500000000005,15047,3792
252,Zigzag,10000,Bubble Sort,123.9922,74985000,2068
253,Zigzag,10000,Cocktail Shaker Sort,96.66351999999999,74985000,2088
254,Zigzag,10000,Comb Sort,1.1342873,66183,3772
255,Zigzag,10000,Heap Sort,0.8036416,375741,3748
256,Zigzag,10000,Insertion Sort,47.2502,25014998,2148
257,Zigzag,10000,Intro Sort,3.214913,853656,3980
258,Zigzag,10000,Library Sort,41.203179999999996,69999,3752
259,Zigzag,10000,Merge Sort,0.6239728,287230,4020
260,Zigzag,10000,Quick Sort,73.57732999999999,75014996,4168
261,Zigzag,10000,Selection Sort,56.537459999999996,7500,2092
262,Zigzag,10000,Tim Sort,0.9979438,278425,3844
263,Zigzag,10000,Tournament Sort,0.672187,202767,4052
264,Zigzag,100000,Bubble Sort,12368.67,7499850000,4136
265,Zigzag,100000,Cocktail Shaker Sort,10441.277,7499850000,4088
266,Zigzag,100000,Comb Sort,286.4243,6010146,4032
267,Zigzag,100000,Heap Sort,9.917812999999999,4763064,4008
268,Zigzag,100000,Insertion Sort,5793.217,2500149998,4160
269,Zigzag,100000,Intro Sort,38.07995,10755549,4240
270,Zigzag,100000,Library Sort,3621.547,699999,4392
271,Zigzag,100000,Merge Sort,6.977746999999999,3537854,4544
272,Zigzag,100000,Quick Sort,8459.460000000001,7500149996,7656
273,Zigzag,100000,Selection Sort,6493.128,75000,4080
274,Zigzag,100000,Tim Sort,11.81251,3609859,4632
275,Zigzag,100000,Tournament Sort,7.752714,2262143,6164
276,Zigzag,1000000,Bubble Sort,1262875.0,749998500000,7624
277,Zigzag,1000000,Cocktail Shaker Sort,1048202.0,749998500000,7580
278,Zigzag,1000000,Comb Sort,10733.310000000001,397436673,7660
279,Zigzag,1000000,Heap Sort,118.58990000000001,57493185,7636
280,Zigzag,1000000,Insertion Sort,558266.5,250001499998,7608
281,Zigzag,1000000,Intro Sort,407.4576,129473124,7868
282,Zigzag,1000000,Library Sort,360457.9,6999999,8036
283,Zigzag,1000000,Merge Sort,80.96805,41902846,11604
284,Zigzag,1000000,Quick Sort,832529.8,750001499996,42824
285,Zigzag,1000000,Selection Sort,640937.3,750000,7568
286,Zigzag,1000000,Tim Sort,150.4234,45329704,11692
287,Zigzag,1000000,Tournament Sort,84.91648,25097151,23836
